,id,guion,anio,mes,duracion,calificacion,argumento
0,tt0059325,Jürgen BöttcherKlaus Poche,1990,10,1h 40m,6.5,"DDR film from the mid-60s: Li and Al, not long married, want to divorce. They feel trapped in their marriage and in their one-room apartment. They long for an unconventional, meaningful life, but the search for meaning confounds them."
1,tt0059900,Egon GüntherHelga Schütz,1990,10,1h 18m,6.5,"Adam receives a flashlight with special powers: every liar it shines on flies into the air. Production was canceled in 1965 due to the film's political content. Only in 1989-1990 could the director reconstruct the film, replacing missing sounds and images with script inserts."
2,tt0065188,Jaromir KacerJirí SoukupZdenek Tyc,1990,10,1h 20m,6.5,
3,tt0068494,Arch Oboler,1990,8,R,5.0,A young college student and a former G.I. on his way home from a tour in Viet Nam meet in Japan and decide to explore the country together.
4,tt0075259,Len Deighton,1990,3,1h 43m,5.7,"A British spy is framed, so he must evade the KGB, the CIA and the British Intelligence to reach the the heart of the conspiracy in Arctic."
5,tt0081721,Michael Rubbo,1990,12,1h 40m,6.2,Jo meets a mysterious art dealer who buys some of her drawings and commissions her to make more. She asks some friends for help and sets off to Amsterdam to look for the mysterious man.
6,tt0090665,Férid BoughedirNouri BouzidTaoufik Jebali,1990,3,Unrated,6.7,"Noura struggles to reconcile two worlds, Muslim women and men, while also dealing with his own sexuality."
7,tt0093210,Jorge Barragán,1990,0,1h 42m,5.9,"A hobo (Julio Alemán) is given the power to know what will happen in the future, but only for 24 hours."
8,tt0093989,Cheh Chang,1990,11,1h 55m,6.4,The friendship between a thief turned Chinese opera performer and an incorruptible police officer.
9,tt0093662,Mike Grady,1990,ND,1990,5.7,A beautiful young soap opera star is stalked and terrorized by an obsessive admirer at a posh tropical resort.
10,tt0094666,Iain RoyChris Kelly,1990,5,R,4.3,A veteran reporter is investigating the disappearance of a photo-journalist who was covering a civil war in Africa. The only clue is a roll of film he left behind. The reporter soon realizes he may have bitten more than he can chew.
11,tt0094073,Mila BurnetteJoaquim de AlmeidaMaria Norman,1990,10,1h 37m,7.6,"Concerns an affluent New Yorker who returns to the South Bronx and her Puerto Rican roots, and falls in love with a Puerto Rican separatist."
12,tt0094857,Chi-Ming Pang,1990,3,1h 34m,6.2,A Hong Kong police detective investigating weapons smuggling through the airport runs into a corrupt customs officer. Things escalate to a ruthless munitions smuggler kidnapping two security officers' daughter.
