,id_contenido,nombre,id_tipo,id_director
0,tt0059325,Jahrgang 45,1,0
1,tt0059900,"Wenn du groß bist, lieber Adam",1,1
2,tt0065188,"Vojtech, receny sirotek",1,2
3,tt0068494,Domo Arigato,1,3
4,tt0075259,Spy Story,1,4
5,tt0081721,Vincent et moi,1,5
6,tt0090665,Asfour Stah,1,6
7,tt0093210,La hora 24,1,7
8,tt0093989,Xian sha lu,1,8
9,tt0093662,Object of Desire,1,9
10,tt0094666,Any Man's Death,1,10
11,tt0094073,The Sun and the Moon,1,11
12,tt0094857,Chi se da feng bao,1,12
13,tt0095840,Payback,1,13
14,tt0096469,Wu ye tian shi,1,14
15,tt0096775,Agneekaal,1,15
16,tt0096992,Bumazhnye glaza Prishvina,1,16
17,tt0096937,Blagorodnyy razboynik Vladimir Dubrovskiy,1,17
18,tt0096025,Sailors Don't Cry,1,18
19,tt0096174,Stela,1,19
20,tt0095902,Primo Baby,1,20
21,tt0096500,Zbabelec,1,21
22,tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,1,22
23,tt0096817,Los ángeles,1,23
24,tt0097129,Crossing the Line,1,24
25,tt0097298,Eternity,1,25
26,tt0096752,Abrahams Gold,1,26
27,tt0096763,Adultery,1,27
28,tt0097697,Könnyü vér,1,28
29,tt0098144,La punyalada,1,29
30,tt0097968,Nezný barbar,1,30
31,tt0098139,Pont de Varsòvia,1,31
32,tt0098004,Nochevala tuchka zolotaya...,1,32
33,tt0097833,Marcowe migdaly,1,33
34,tt0097106,Conte de printemps,1,34
35,tt0096296,Tragediya v stile rok,1,35
36,tt0096879,Bal na dworcu w Koluszkach,1,36
37,tt0096984,Brodyachiy avtobus,1,37
38,tt0097475,A halálraítélt,1,38
39,tt0096883,Ballbuster,1,39
40,tt0098657,Winckelmanns Reisen,1,40
41,tt0097348,Fung yue tung lo,1,41
42,tt0096825,"Any Time, Any Play",1,42
43,tt0097738,La leyenda de una máscara,1,43
44,tt0093646,Nonstop,2,44
45,tt0096107,Seven Days a Week - CITY LIFE - Warsaw,2,45
46,tt0097970,Night Cries: A Rural Tragedy,2,46
47,tt0098268,Schwarze Sünde,2,47
48,tt0099224,Carnaval,2,48
49,tt0100335,Pas de deux,2,49
50,tt0099861,A Ilha,2,50
51,tt0100434,Puerto Verde,2,51
52,tt0099522,The Evil Cameraman,2,52
53,tt0156370,Blanco o negro,2,53
54,tt0168228,"To the Moon, Alice",2,54
55,tt0212195,Greger Olsson köper en bil,2,55
56,tt0219685,De finales,2,56
57,tt0241399,Ego zhena kuritsa,2,57
58,tt0281237,Stumrebi,2,58
59,tt0283920,Because,2,59
60,tt0297692,639 kai mia nyhtes,2,60
61,tt0333111,Awakening,2,61
62,tt0344059,Mes parents un jour d'été,2,62
63,tt0091899,O Escorpião Escarlate,1,63
64,tt0097253,Dezha vyu,1,64
65,tt0096506,Zhong Ri nan bei he,1,65
66,tt0096830,Aquí huele a muerto... (¡pues yo no he sido!),1,66
67,tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,1,67
68,tt0097062,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",1,68
69,tt0097644,"Kapital, czyli jak zrobic pieniadze w Polsce",1,69
70,tt0097994,Nobody's Perfect,1,70
71,tt0098064,Pareja enloquecida busca madre de alquiler,1,71
72,tt0097176,Deceit,1,72
73,tt0097619,Gat seng gung ziu,1,73
74,tt0098294,La settimana della sfinge,1,74
75,tt0097638,Hoi sum gwai gau hoi sum gwai,1,75
76,tt0097394,Fu gui bing tuan,1,76
77,tt0096075,Sexpot,1,77
78,tt0096860,L'aventure extraordinaire d'un papa peu ordinaire,1,78
79,tt0096859,L'avaro,1,79
80,tt0097049,"Chastnyy detektiv, ili operatsiya 'Kooperatsiya'",1,80
81,tt0097525,Hopnick,1,81
82,tt0097405,La fête des pères,1,82
83,tt0099100,Bananen - Skræl den før din nabo,1,83
84,tt0098150,Qu mo jing cha,1,84
85,tt0098658,Wings of Fame,1,85
86,tt0098050,Ovejas negras,1,86
87,tt0097884,Milou en mai,1,87
88,tt0099178,Breakfast in Bed,1,88
89,tt0098514,Trois années,1,89
90,tt0099038,Anekdoty,1,90
91,tt0098532,Tulitikkutehtaan tyttö,1,91
92,tt0098606,La voce della luna,1,92
93,tt0099421,Dicembre,1,93
94,tt0098920,Swinka,1,94
95,tt0099228,Casanova,1,95
96,tt0098244,"Sabato, domenica e lunedì",1,96
97,tt0099831,The Imported Bridegroom,1,97
98,tt0097436,Gisèle Kérozène,2,98
99,tt0100525,Rumba,2,99
100,tt0100510,Roller Coaster Rabbit,2,100
101,tt0099696,Cavallette,2,101
102,tt0099706,Grinning Evil Death,2,102
103,tt0099367,A Date with Destiny,2,103
104,tt0099567,Fierrot le pou,2,104
105,tt0099171,Box-Office Bunny,2,105
106,tt0100916,Whatever Happened to Mason Reese,2,106
107,tt0133313,Night of the Living Bread,2,107
108,tt0145013,Juke-Bar,2,108
109,tt0185397,Kennosuke-sama,2,109
110,tt0194939,La hija de Fu Manchú '72,2,110
111,tt0211483,Linda's Body,2,111
112,tt0212560,To Be,2,112
113,tt0233238,The Arnold Waltz,2,113
114,tt0240705,Making Real Funny Home Videos,2,114
115,tt0243895,Fat Monroe,2,115
116,tt0259357,Les héros sont immortels,2,116
117,tt0283465,Marilyn Hotchkiss' Ballroom Dancing and Charm School,2,117
118,tt0284364,Ode to G.I. Joe,2,118
119,tt0312670,Exit,2,119
120,tt0366283,The Canterville Ghost,2,120
121,tt0382989,Star Mac,2,121
122,tt0387645,Trimata glupatzi non-stop,2,122
123,tt0391337,Mentira,2,123
124,tt0402593,The Wrong Type,2,124
125,tt0418659,"Ella, él y Benjamín",2,125
126,tt0420826,Perekhod tovarishcha Chkalova cherez severnyy polyus,2,126
127,tt0423042,The Reading Room,2,127
128,tt0448204,Big House Blues,2,128
129,tt0447704,Tater Tomater,2,129
130,tt0092926,Dragon Hunt,1,99
131,tt0094376,Huang jia shi jie zhi: Zhong jian ren,1,130
132,tt0095095,Emperor of the Bronx,1,131
133,tt0095290,Hei hai ba wang hua,1,132
134,tt0097004,Caged Fury,1,133
135,tt0096513,Jui gaai chak paak dong,1,134
136,tt0096811,An le zhan chang,1,135
137,tt0097542,Las huellas del lince,1,136
138,tt0096767,African Express,1,137
139,tt0096837,The Assassin,1,138
140,tt0098958,...Po prozvishchu 'Zver',1,139
141,tt0098172,Reason to Die,1,140
142,tt0097506,High Score,1,141
143,tt0098422,The Sword of Bushido,1,142
144,tt0097259,Easy Kill,1,143
145,tt0099240,Janggunui adeul,1,144
146,tt0097850,¡Maten a Chinto!,1,145
147,tt0098461,Thanedaar,1,146
148,tt0098199,The Revenger,1,147
149,tt0097184,Demonstone,1,148
150,tt0099320,Crime Stopper,1,149
151,tt0100410,Tai yang zhi zi,1,150
152,tt0099807,Hua gui zhu zheng ge li,1,151
153,tt0099809,Huang jia nu jiang,1,152
154,tt0099399,Delta Force 2: The Colombian Connection,1,153
155,tt1323948,Rollo Aller!,2,154
156,tt4087090,Sonic Soldier Borgman: Lover's Rain,2,155
157,tt0094874,Chu tu qi bing,1,156
158,tt0099410,Despertaferro,1,157
159,tt0100456,The Rainbow Thief,1,158
160,tt0100264,Nils Karlsson Pyssling,1,159
161,tt0100448,Quest for the Mighty Sword,1,42
162,tt0100600,Si hing chong gwai,1,151
163,tt0099461,Dragonfight,1,160
164,tt0099677,The Golden Boat,1,161
165,tt0100356,Peterchens Mondfahrt,1,162
166,tt0100610,Shui ling long,1,163
167,tt0100626,Sípová Ruzenka,1,164
168,tt0100621,Simon les nuages,1,165
169,tt0100625,Sien lui yau wan II: Yan gaan dou,1,166
170,tt0100665,Soultaker,1,167
171,tt0098959,Wendy Cracked a Walnut,1,168
172,tt0100082,Ma yi chuan qi,1,169
173,tt0098971,A Xiu Luo,1,170
174,tt0100002,Lekin...,1,171
175,tt0100070,Lua de Cristal,1,172
176,tt0099890,Jit,1,173
177,tt0099613,Eine Frau namens Harry,1,174
178,tt0309554,Edison's Frankenstein,2,175
179,tt10608538,Reproduta Interdita,2,176
180,tt12621180,Dafna,2,177
181,tt4401830,"O vodovodu, který zpíval v opere",2,178
182,tt9222958,The Door in the Wall,2,179
183,tt0096954,Bloodmoon,1,180
184,tt0097718,The Laughing Dead,1,181
185,tt0097178,Sangue negli abissi,1,182
186,tt0098486,Der Todesking,1,183
187,tt0099637,Un gatto nel cervello,1,184
188,tt0099415,Das deutsche Kettensägen Massaker,1,185
189,tt0100399,Powrót wilczycy,1,186
190,tt0100324,Pale Blood,1,187
191,tt0097666,Killer!,1,188
192,tt0099395,Def by Temptation,1,189
193,tt0098998,The Age of Insects,1,190
194,tt0099401,Demon Wind,1,191
195,tt0099431,Dina,1,192
196,tt0100672,Spirits,1,193
197,tt0100586,Shadowzone,1,194
198,tt0099498,Empire of the Dark,1,195
199,tt0099374,Dead Men Don't Die,1,196
200,tt0099278,Click: The Calendar Girl Killer,1,197
